CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Total_Population,FI_Population,Demand_of_meals [meals/year]
42003426800,Pennsylvania,Allegheny County,1,5369,2060,0,0,0,0,0,0,0,0,0,2.9,109309,1,1,1,1,1,0,0,0,1738,4577,1738,113,313,113,4577,85.24,313,5.83,983,18.3,934,17.4,4469,83.24,27,0.51,40,0.75,2,0.04,4,0.07,34,0.63,51,0.95,39,1.89,0,0,1738,32.37,113,2.1,340,6.33,385,7.17,1699,31.65,6,0.11,17,0.31,0,0,1,0.01,16,0.3,10,0.19,14,0.7,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382,1169,1083,5222,47,52,3,5,40,59,47,0,5295,0,0
42003427000,Pennsylvania,Allegheny County,1,3744,1786,0,20,0.53,1,1,1,1,1,1,18,44423,1,1,1,1,1,0,0,1,2182,3608,2182,942,1519,942,3608,96.36,1519,40.56,759,20.28,511,13.66,3358,89.68,137,3.65,9,0.24,0,0,10,0.27,94,2.52,51,1.37,380,21.25,464,26,2182,58.29,942,25.15,454,12.13,333,8.89,2010,53.69,98,2.62,5,0.15,0,0,8,0.22,61,1.62,24,0.64,238,13.31,286,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1531,782,529,3487,143,9,0,10,95,52,414,507,4028,4028,4410660
42003427100,Pennsylvania,Allegheny County,1,5510,2189,0,6,0.11,0,0,0,0,0,0,4.8,111806,1,1,1,1,1,0,0,0,2054,5057,2054,167,499,167,5057,91.77,499,9.06,1048,19.03,804,14.59,4919,89.28,27,0.48,57,1.03,0,0,2,0.04,52,0.95,47,0.85,66,2.99,17,0.8,2054,37.27,167,3.04,428,7.76,346,6.28,2003,36.35,11,0.21,19,0.35,0,0,1,0.02,19,0.35,18,0.33,34,1.55,7,0.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,584,1141,870,5366,29,57,0,2,56,48,62,20,5605,0,0
42003427200,Pennsylvania,Allegheny County,1,4899,2184,0,90,1.84,0,0,0,0,1,0,12.4,77303,0,1,0,1,0,0,0,1,55,4310,55,14,982,14,4310,87.98,982,20.05,763,15.57,873,17.82,4187,85.48,45,0.92,38,0.77,0,0,6,0.13,34,0.69,32,0.65,139,6.36,129,5.9,55,1.11,14,0.28,12,0.24,10,0.21,53,1.08,1,0.01,0,0,0,0,1,0.01,0,0.01,0,0.01,2,0.11,2,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1047,877,965,4759,49,44,0,7,40,43,153,152,5180,0,0
42003428100,Pennsylvania,Allegheny County,1,1242,529,0,0,0,0,0,0,0,0,0,5.9,72700,1,1,1,1,1,0,0,0,712,1242,712,168,328,168,1242,100,328,26.42,197,15.86,246,19.81,1216,97.91,3,0.24,3,0.24,0,0,10,0.81,10,0.81,7,0.56,49,9.19,7,1.36,712,57.33,168,13.51,114,9.18,149,12.01,699,56.27,0,0.04,2,0.13,0,0,4,0.29,7,0.6,5,0.41,30,5.58,4,0.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,322,197,246,1216,3,3,0,10,10,7,47,7,1413,0,0
42003428200,Pennsylvania,Allegheny County,1,2091,916,0,0,0,0,0,0,0,0,0,2.8,83100,1,1,1,1,1,0,0,0,1028,1986,1028,151,287,151,1986,94.99,287,13.74,336,16.08,399,19.06,1938,92.68,33,1.59,8,0.38,0,0,0,0,7,0.33,7,0.32,35,3.8,48,5.25,1028,49.15,151,7.2,177,8.47,202,9.67,996,47.62,26,1.26,1,0.07,0,0,0,0,4,0.2,3,0.13,19,2.05,24,2.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,299,356,418,2040,34,8,0,0,9,7,37,51,2443,0,0
42003429100,Pennsylvania,Allegheny County,1,2510,1130,0,99,3.94,0,0,0,0,0,0,6.9,101477,1,1,1,1,1,0,0,0,602,1883,602,107,325,107,1883,75.03,325,12.94,291,11.6,313,12.45,1723,68.64,93,3.69,37,1.47,2,0.07,2,0.08,27,1.09,20,0.78,62,5.49,30,2.69,602,23.99,107,4.27,93,3.71,146,5.82,548,21.85,41,1.64,1,0.02,1,0.05,2,0.07,9,0.37,7,0.29,18,1.61,9,0.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,467,431,423,2309,104,46,2,2,47,33,90,42,2814,0,0
42003429201,Pennsylvania,Allegheny County,1,4310,1740,0,219,5.08,0,0,0,0,0,0,4,110144,0,1,0,1,0,0,0,0,417,2074,417,42,235,42,2074,48.12,235,5.46,423,9.82,340,7.89,1956,45.39,24,0.56,64,1.48,0,0,1,0.02,28,0.66,22,0.51,34,1.95,14,0.8,417,9.67,42,0.98,86,2,69,1.6,392,9.08,4,0.09,12,0.28,0,0,0,0,9,0.21,4,0.08,2,0.09,3,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,545,804,811,3925,104,213,0,2,66,55,141,31,4463,0,0
42003429202,Pennsylvania,Allegheny County,1,4365,1887,0,0,0,0,0,0,0,0,0,3.3,101852,0,1,0,1,0,0,0,0,30,2995,30,1,389,1,2995,68.61,389,8.9,597,13.67,580,13.29,2887,66.14,18,0.41,54,1.24,3,0.06,2,0.05,31,0.7,18,0.42,28,1.49,15,0.79,30,0.68,1,0.01,6,0.13,7,0.16,30,0.68,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,899,801,4175,51,87,5,2,45,39,42,21,4674,0,0
42003429300,Pennsylvania,Allegheny County,1,5644,2503,0,227,4.02,0,0,0,0,0,0,5.3,96385,0,1,0,1,0,0,0,0,213,3746,213,25,555,25,3746,66.37,555,9.83,660,11.69,786,13.93,3615,64.04,31,0.55,66,1.17,0,0,2,0.04,32,0.57,23,0.41,64,2.58,41,1.65,213,3.77,25,0.44,31,0.55,54,0.96,204,3.62,2,0.03,5,0.09,0,0,0,0,2,0.03,0,0.01,3,0.12,3,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,906,907,1502,5448,59,83,0,7,47,42,137,60,5889,0,0
42003429400,Pennsylvania,Allegheny County,1,4265,1922,0,6,0.14,0,0,0,0,0,0,4,92222,0,1,0,1,0,0,0,0,NULL,3005,NULL,NULL,485,NULL,3005,70.46,485,11.36,537,12.58,556,13.05,2929,68.68,28,0.66,14,0.33,0,0,3,0.07,31,0.73,21,0.49,11,0.58,105,5.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,790,773,787,4155,35,21,0,4,50,45,15,142,4618,0,0
42003429500,Pennsylvania,Allegheny County,1,4212,2351,0,3,0.07,0,0,0,0,0,0,6.1,87404,0,1,0,1,0,0,0,0,NULL,765,NULL,NULL,210,NULL,765,18.17,210,4.98,90,2.15,174,4.12,691,16.41,28,0.67,35,0.83,0,0,1,0.04,10,0.23,11,0.27,32,1.37,39,1.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1037,536,1108,3793,135,222,2,6,54,74,333,208,4274,0,0
42003429600,Pennsylvania,Allegheny County,1,3428,1546,0,128,3.73,0,0,0,0,0,0,4.7,83542,0,1,0,1,0,0,0,0,NULL,2304,NULL,NULL,368,NULL,2304,67.2,368,10.74,419,12.23,389,11.34,2154,62.84,68,2,25,0.72,0,0,3,0.09,53,1.55,30,0.86,23,1.47,31,2.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525,637,529,3153,124,78,0,7,66,46,40,47,3397,0,0
42003429700,Pennsylvania,Allegheny County,1,2371,1046,0,4,0.17,0,0,0,0,0,0,5.1,86250,0,1,0,1,0,0,0,0,275,1608,275,38,254,38,1608,67.83,254,10.72,307,12.97,366,15.44,1546,65.21,25,1.05,12,0.52,0,0.01,0,0,25,1.03,12,0.52,33,3.16,62,5.88,275,11.6,38,1.62,43,1.81,83,3.48,268,11.31,3,0.12,2,0.09,0,0,0,0,2,0.09,2,0.08,7,0.68,11,1.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,387,443,510,2292,35,15,1,0,28,16,41,86,2452,0,0
42003430100,Pennsylvania,Allegheny County,1,2104,919,0,0,0,0,0,0,0,0,0,10.7,80250,0,1,0,1,0,0,0,0,NULL,855,NULL,NULL,237,NULL,855,40.62,237,11.25,197,9.34,88,4.18,833,39.58,13,0.62,2,0.08,0,0,0,0,7,0.35,19,0.92,13,1.38,24,2.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,561,471,210,2017,54,9,0,1,23,30,32,60,2315,0,0
42003430200,Pennsylvania,Allegheny County,1,4667,2091,0,8,0.17,0,0,0,0,0,0,5.2,79459,0,0,0,0,0,0,0,0,NULL,476,NULL,NULL,31,NULL,476,10.2,31,0.67,111,2.37,67,1.43,457,9.8,3,0.06,3,0.05,1,0.02,0,0,13,0.27,5,0.11,4,0.21,29,1.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1129,993,724,4481,60,27,2,1,96,38,136,307,4932,0,0
42003431100,Pennsylvania,Allegheny County,1,3380,1674,0,31,0.92,0,0,0,0,0,0,14.9,74464,0,1,0,1,0,0,0,0,NULL,592,NULL,NULL,149,NULL,592,17.51,149,4.42,121,3.59,59,1.74,502,14.86,68,2.01,3,0.08,0,0,1,0.02,18,0.53,14,0.4,58,3.44,45,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1013,628,349,2860,368,26,1,2,123,66,360,308,3555,0,0
42003431400,Pennsylvania,Allegheny County,1,1902,901,0,7,0.37,0,0,0,0,0,0,9.9,68750,0,0,0,0,0,0,0,0,NULL,429,NULL,NULL,90,NULL,429,22.58,90,4.73,77,4.04,48,2.5,377,19.8,37,1.96,3,0.14,0,0,1,0.03,12,0.66,8,0.42,36,4.04,35,3.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,396,368,221,1698,133,10,0,1,60,24,175,169,1845,0,0
42003431500,Pennsylvania,Allegheny County,1,3088,1660,0,34,1.1,0,0,0,0,0,0,12.5,66538,0,0,0,0,0,0,0,0,NULL,157,NULL,NULL,36,NULL,157,5.08,36,1.16,24,0.79,15,0.49,144,4.68,7,0.24,0,0.01,0,0,1,0.03,4,0.12,4,0.12,26,1.55,17,1.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,997,481,403,2708,247,54,2,2,75,72,463,361,3370,0,0
42003432300,Pennsylvania,Allegheny County,1,2121,1124,0,65,3.06,0,0,0,0,0,0,9.7,70833,0,1,0,1,0,0,0,0,NULL,840,NULL,NULL,288,NULL,840,39.59,288,13.57,150,7.06,101,4.76,710,33.45,88,4.14,1,0.05,0,0,13,0.62,28,1.32,6,0.29,67,6,29,2.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,712,290,550,1865,176,9,0,19,52,22,320,93,2375,0,0
42003432400,Pennsylvania,Allegheny County,1,2584,1287,0,14,0.54,0,0,0,0,0,0,5.3,83958,0,1,0,1,0,0,0,0,NULL,947,NULL,NULL,149,NULL,947,36.65,149,5.77,166,6.41,80,3.09,796,30.79,109,4.2,8,0.32,0,0,1,0.04,34,1.3,19,0.73,38,2.92,62,4.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,474,440,418,2253,232,16,0,1,82,35,131,173,2919,0,0
42003434000,Pennsylvania,Allegheny County,1,1781,740,0,3,0.17,0,0,0,0,0,0,3.4,116607,1,1,1,1,1,0,0,0,1167,1781,1167,125,214,125,1781,100,214,11.99,439,24.65,219,12.3,1669,93.71,65,3.65,15,0.84,0,0,2,0.11,30,1.68,19,1.07,40,5.37,40,5.35,1167,65.5,125,7,281,15.78,137,7.68,1126,63.21,19,1.07,4,0.2,0,0,2,0.11,16,0.9,13,0.73,22,3,26,3.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,225,439,219,1669,65,15,0,2,30,19,42,41,1917,0,0
42003435000,Pennsylvania,Allegheny County,1,2449,1123,0,72,2.94,0,0,0,0,0,0,4.9,79000,1,1,1,1,1,0,0,0,2449,2449,2449,520,520,520,2449,100,520,21.23,508,20.74,319,13.03,2248,91.79,108,4.41,41,1.67,0,0,0,0,52,2.12,25,1.02,56,5.02,66,5.86,2449,100,520,21.23,508,20.74,319,13.03,2248,91.79,108,4.41,41,1.67,0,0,0,0,52,2.12,25,1.02,56,5.02,66,5.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,517,508,319,2248,108,41,0,0,52,25,63,73,2598,0,0
42003437000,Pennsylvania,Allegheny County,1,4757,1823,0,104,2.19,0,0,0,0,0,0,4.9,125441,1,1,1,1,1,0,0,0,3173,4122,3173,522,567,522,4122,86.66,567,11.91,1054,22.15,387,8.13,3871,81.37,73,1.53,127,2.66,0,0,0,0,52,1.09,68,1.43,12,0.68,33,1.81,3173,66.7,522,10.97,776,16.31,339,7.13,3008,63.24,36,0.76,98,2.05,0,0,0,0,31,0.64,47,0.98,12,0.68,25,1.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,714,1190,426,4461,87,149,0,0,60,81,15,50,3086,0,0
42003439000,Pennsylvania,Allegheny County,0,1388,532,0,0,0,0,0,0,0,0,0,4.8,110000,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1388,100,179,12.91,329,23.7,210,15.13,1307,94.16,37,2.67,18,1.3,2,0.14,1,0.07,23,1.66,18,1.3,0,0,12,2.16,1388,100,179,12.91,329,23.7,210,15.13,1307,94.16,37,2.67,18,1.3,2,0.14,1,0.07,23,1.66,18,1.3,0,0,12,2.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184,329,210,1307,37,18,2,1,23,18,0,12,1382,0,0
42003445500,Pennsylvania,Allegheny County,1,3827,1765,0,5,0.13,0,0,0,0,0,0,7.3,121154,0,1,0,1,0,0,0,0,26,597,26,4,75,4,597,15.61,75,1.96,138,3.59,92,2.4,488,12.76,78,2.04,10,0.26,1,0.02,0,0,20,0.53,17,0.44,26,1.45,11,0.65,26,0.69,4,0.11,9,0.23,5,0.14,13,0.33,11,0.3,1,0.02,0,0,0,0,1,0.04,0,0,1,0.06,0,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,536,907,703,3399,281,51,2,2,92,70,177,71,3902,0,0
