CensusTract,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Total_Population
42003429300,Allegheny County,0,0,0,0,5.3,906,5889
42003429400,Allegheny County,0,0,0,0,4,790,4618
42003429500,Allegheny County,0,0,0,0,6.1,1037,4274
42003429600,Allegheny County,0,0,0,0,4.7,525,3397
42003429700,Allegheny County,0,0,0,0,5.1,387,2452
42003430100,Allegheny County,0,0,0,0,10.7,561,2315
42003430200,Allegheny County,0,0,0,0,5.2,1129,4932
42003431100,Allegheny County,0,0,0,0,14.9,1013,3555
42003431400,Allegheny County,0,0,0,0,9.9,396,1845
42003431500,Allegheny County,0,0,0,0,12.5,997,3370
42003432300,Allegheny County,0,0,0,0,9.7,712,2375
42003432400,Allegheny County,0,0,0,0,5.3,474,2919
42003434000,Allegheny County,0,0,0,0,3.4,225,1917
42003435000,Allegheny County,0,0,0,0,4.9,517,2598
42003437000,Allegheny County,0,0,0,0,4.9,714,3086
42003439000,Allegheny County,0,0,0,0,4.8,184,1382
42003445500,Allegheny County,0,0,0,0,7.3,536,3902
42003446000,Allegheny County,0,0,0,0,5.8,114,1730
42003447000,Allegheny County,0,0,0,0,3.7,226,1568
42003448000,Allegheny County,0,1,0,1,21.4,424,1232
42003449000,Allegheny County,0,0,0,0,4.1,430,2324
42003450700,Allegheny County,0,1,0,1,9.8,1146,3402
42003450800,Allegheny County,0,0,0,1,18.9,1367,2719
42003451101,Allegheny County,0,0,0,0,6,478,3591
42003451102,Allegheny County,0,0,0,0,5.6,869,5573
42003451104,Allegheny County,0,0,0,0,1,108,7178
42003451105,Allegheny County,0,0,0,0,8.5,1252,7178
42003451300,Allegheny County,0,0,0,0,3.1,742,5948
42003452000,Allegheny County,0,0,0,0,6.2,1148,5145
42003453003,Allegheny County,0,0,0,0,6.1,358,3833
42003453004,Allegheny County,0,0,0,0,16.1,1466,3833
42003455000,Allegheny County,0,0,0,0,5.4,281,1550
42003456001,Allegheny County,0,0,0,0,3.6,411,3082
42003456003,Allegheny County,0,0,0,0,5.3,761,4169
42003456004,Allegheny County,0,0,0,0,3,453,5020
42003457100,Allegheny County,0,0,0,0,12.1,361,1550
42003457200,Allegheny County,0,1,0,1,10,993,3791
42003458000,Allegheny County,0,0,0,0,3.2,850,5265
42003459101,Allegheny County,0,0,0,0,13.9,412,1739
42003459102,Allegheny County,0,0,0,0,4.9,774,5136
42003459201,Allegheny County,0,0,0,0,4.7,954,5414
42003459202,Allegheny County,1,1,1,1,8.6,164,741
42003460001,Allegheny County,0,0,0,0,2.9,778,4176
42003460002,Allegheny County,0,0,0,0,2.9,856,3328
42003461000,Allegheny County,1,1,1,1,18.9,373,1229
42003462100,Allegheny County,1,1,1,1,18.5,1376,2730
42003462600,Allegheny County,1,1,1,1,23.2,1465,3976
42003463900,Allegheny County,0,1,0,1,16.6,1105,2892
42003464300,Allegheny County,0,0,0,0,8.8,734,3712
42003464400,Allegheny County,0,1,0,1,36,2237,3730
42003465600,Allegheny County,0,0,0,0,15.2,930,2826
42003465800,Allegheny County,0,0,0,0,4.4,471,3880
42003468700,Allegheny County,1,1,1,1,13.4,431,1964
42003468800,Allegheny County,0,0,0,0,19.7,1056,2385
42003468900,Allegheny County,0,0,0,0,15.5,1357,4040
42003469000,Allegheny County,0,0,0,0,9.9,868,4719
42003470300,Allegheny County,0,0,0,0,6,763,3805
42003470400,Allegheny County,0,0,0,0,2.8,305,3461
42003470501,Allegheny County,0,0,0,0,7.6,704,6643
42003470502,Allegheny County,0,0,0,0,1.9,354,6643
42003470600,Allegheny County,0,0,0,0,13.1,763,3379
42003471000,Allegheny County,0,0,0,1,6.7,425,1222
42003472100,Allegheny County,0,1,0,1,7.7,714,2782
42003472200,Allegheny County,0,0,0,0,7.6,458,2363
42003472300,Allegheny County,0,0,0,0,8.7,581,2290
42003472400,Allegheny County,0,0,0,0,3.4,188,1870
42003473100,Allegheny County,0,0,0,0,5.7,629,4964
42003473200,Allegheny County,0,0,0,0,4.5,501,3432
42003473300,Allegheny County,0,0,0,0,5.9,510,5477
42003473401,Allegheny County,0,0,0,0,8.8,635,3768
42003473402,Allegheny County,0,0,0,0,3.4,274,3681
42003473500,Allegheny County,0,0,0,0,4.1,211,3619
42003473601,Allegheny County,0,0,0,0,2.7,322,3839
42003473602,Allegheny County,0,0,0,0,6,559,4237
42003474101,Allegheny County,0,0,0,0,3.4,386,3800
42003474102,Allegheny County,0,0,0,0,3.7,451,3502
42003474201,Allegheny County,0,0,0,0,1.8,156,2630
42003474202,Allegheny County,0,0,0,0,2.1,454,5368
42003474203,Allegheny County,0,0,0,0,1.1,262,4753
42003475101,Allegheny County,0,0,0,0,9.1,975,4895
42003475102,Allegheny County,0,0,0,0,4.6,133,2051
42003475200,Allegheny County,0,0,0,0,9.4,856,5080
42003475301,Allegheny County,0,0,0,0,3.9,773,4590
42003475303,Allegheny County,0,0,0,0,3.7,428,4291
42003475304,Allegheny County,0,0,0,0,2.7,713,5828
42003475401,Allegheny County,0,0,0,0,3.3,422,3719
42003475402,Allegheny County,0,0,0,0,3.8,231,3102
42003476100,Allegheny County,0,0,0,0,7.3,1110,5083
42003476200,Allegheny County,0,0,0,0,9.9,741,3473
42003477100,Allegheny County,0,0,0,0,6.3,624,3694
42003477200,Allegheny County,0,0,0,0,4.4,546,4456
42003477300,Allegheny County,0,1,0,1,23.6,2172,6294
42003478100,Allegheny County,0,0,0,0,8.9,830,4407
42003478200,Allegheny County,0,0,0,0,8.4,1281,6059
42003479000,Allegheny County,0,0,0,0,9.3,414,2244
42003480101,Allegheny County,0,1,0,1,5.3,2272,4562
42003480102,Allegheny County,0,0,0,0,7.4,804,3297
42003480200,Allegheny County,0,0,0,0,4.8,404,3498
42003480300,Allegheny County,0,0,0,0,8.8,649,3321
42003480400,Allegheny County,0,0,0,0,7.6,716,5321
42003481000,Allegheny County,0,1,0,1,28.9,2009,3970
42003482500,Allegheny County,0,0,0,0,16.1,510,2197
42003483800,Allegheny County,0,0,0,1,35.2,2192,3569
42003484300,Allegheny County,0,0,0,0,13.6,1183,3389
42003484500,Allegheny County,0,0,0,0,11.8,1263,6263
42003484600,Allegheny County,0,1,0,1,10.9,911,2612
42003485000,Allegheny County,0,1,0,1,19.5,461,1338
42003486700,Allegheny County,0,1,0,1,52.9,1513,2835
42003486800,Allegheny County,0,1,0,1,28,917,2240
42003486900,Allegheny County,0,1,0,1,32.2,980,2257
42003487000,Allegheny County,0,0,0,0,14.4,694,2015
42003488100,Allegheny County,0,0,0,0,12.7,520,2408
42003488200,Allegheny County,0,0,0,0,19.8,1050,4051
42003488300,Allegheny County,0,0,0,0,8.5,423,2165
42003488400,Allegheny County,0,1,0,1,10.7,1893,4903
42003488500,Allegheny County,0,0,0,0,9.3,838,3248
42003488600,Allegheny County,0,0,0,0,15.7,1269,5689
42003489001,Allegheny County,0,0,0,0,6.5,708,4373
42003489002,Allegheny County,0,0,0,0,4.6,485,4024
42003490002,Allegheny County,0,0,0,0,6.6,860,5565
42003490003,Allegheny County,0,0,0,0,8.5,705,3558
42003490004,Allegheny County,0,0,0,0,3.1,472,5217
42003491101,Allegheny County,0,0,0,0,2.8,589,5132
42003491200,Allegheny County,0,0,0,0,2.7,263,2222
42003492700,Allegheny County,1,1,1,1,32.1,946,2466
42003492800,Allegheny County,1,1,1,1,30.4,1282,3184
42003492900,Allegheny County,1,1,1,1,24.5,1183,2841
42003494000,Allegheny County,1,1,1,1,16.2,648,1609
42003495000,Allegheny County,0,0,0,0,5.9,677,3771
42003496101,Allegheny County,0,0,0,0,3.4,425,3257
42003496102,Allegheny County,0,0,0,0,8.2,746,4582
42003496200,Allegheny County,0,0,0,0,10.8,1042,6000
42003497000,Allegheny County,0,0,0,0,5.7,172,1202
42003498000,Allegheny County,1,1,1,1,8.2,709,2670
42003499300,Allegheny County,1,1,1,1,16,508,1782
42003499400,Allegheny County,1,1,1,1,24.4,1182,3211
42003500300,Allegheny County,0,0,0,0,9.5,1091,4228
42003501000,Allegheny County,0,0,0,1,12.7,663,1730
42003503002,Allegheny County,0,0,0,0,9.7,1248,6425
42003504100,Allegheny County,0,1,0,1,12.4,1697,5746
42003507000,Allegheny County,0,1,0,1,10.4,592,2337
42003508000,Allegheny County,0,1,0,1,35.5,1296,2145
42003509400,Allegheny County,1,1,1,1,28.8,2659,6076
42003510000,Allegheny County,1,1,1,1,28,1198,2017
42003512000,Allegheny County,1,1,1,1,21.2,1132,2733
42003512800,Allegheny County,0,1,0,1,50.8,880,1966
42003512900,Allegheny County,0,1,0,1,24.6,571,1711
42003513800,Allegheny County,0,1,0,1,35.7,980,2912
42003514000,Allegheny County,1,1,1,1,28.5,1150,2315
42003515100,Allegheny County,0,1,0,1,21.2,1302,3118
42003515200,Allegheny County,0,0,0,0,8.2,556,2231
42003515300,Allegheny County,0,1,0,1,21.2,791,1960
42003515401,Allegheny County,0,0,0,0,10.7,561,1727
42003516100,Allegheny County,0,0,0,0,3.9,158,1563
42003516200,Allegheny County,0,0,0,0,7.8,340,1748
42003517000,Allegheny County,0,1,0,1,23.2,735,1998
42003518001,Allegheny County,0,0,0,0,3.7,246,3558
42003519000,Allegheny County,0,0,0,0,3.1,345,3566
42003520001,Allegheny County,0,0,0,0,5.2,699,3402
42003520002,Allegheny County,0,0,0,0,4.7,817,3515
42003521100,Allegheny County,0,0,0,0,7.9,876,4768
42003521200,Allegheny County,1,1,1,1,7.7,1244,4498
42003521301,Allegheny County,1,1,1,1,23.5,1445,4118
42003521302,Allegheny County,0,0,0,0,6.6,1013,4291
42003521401,Allegheny County,0,0,0,0,4.6,478,2826
42003521402,Allegheny County,0,0,0,0,4.8,468,4140
42003521500,Allegheny County,0,0,0,0,5.8,801,4708
42003522000,Allegheny County,1,1,1,1,21.1,1923,3689
42003523100,Allegheny County,1,1,1,1,20.3,1243,5067
42003523200,Allegheny County,0,1,0,1,14.4,1616,4423
42003523300,Allegheny County,0,0,0,0,4.8,1008,4592
42003523400,Allegheny County,0,0,0,0,8.6,967,5229
42003523501,Allegheny County,0,0,0,0,3.4,939,5168
42003523502,Allegheny County,0,1,0,1,8.7,596,1695
42003523600,Allegheny County,0,0,0,0,9.9,1193,5276
42003523701,Allegheny County,0,0,0,0,9.7,1256,4555
42003523702,Allegheny County,0,0,0,0,10.9,1316,5718
42003523800,Allegheny County,0,0,0,0,4.7,892,5086
42003524000,Allegheny County,0,1,0,1,20.5,970,3124
42003525100,Allegheny County,0,0,0,0,3,269,2190
42003525200,Allegheny County,0,0,0,0,8.7,477,2241
42003525300,Allegheny County,0,0,0,0,4.9,279,2480
42003526101,Allegheny County,0,0,0,0,4.4,863,6367
42003526102,Allegheny County,0,0,0,0,3.7,362,2066
42003526201,Allegheny County,0,0,0,0,2,280,3684
42003526202,Allegheny County,0,0,0,0,7,865,4955
42003526301,Allegheny County,0,0,0,0,3.8,646,4323
42003526302,Allegheny County,0,0,0,0,4.4,691,5545
42003550900,Allegheny County,0,1,0,1,34.8,987,2676
42003551200,Allegheny County,0,1,0,1,37.9,1880,4353
42003551300,Allegheny County,0,0,0,0,12.9,711,2783
42003551900,Allegheny County,0,1,0,1,61.2,1233,1696
42003552000,Allegheny County,0,1,0,1,27.8,1354,3079
42003552100,Allegheny County,0,1,0,1,56.7,976,1654
42003552200,Allegheny County,0,1,0,1,31.9,578,1332
42003552300,Allegheny County,0,1,0,1,39.9,1249,3180
42003552400,Allegheny County,0,1,0,1,20.7,1417,3292
42003560400,Allegheny County,0,0,0,1,25.7,834,1827
42003560500,Allegheny County,0,0,0,0,10.2,407,2186
42003560600,Allegheny County,0,0,0,1,41.9,512,1679
42003561000,Allegheny County,0,1,0,1,38.1,709,1869
42003561100,Allegheny County,0,0,0,1,52.5,794,1467
42003561200,Allegheny County,0,0,0,1,34.8,857,1738
42003561400,Allegheny County,0,1,0,1,12.1,1672,4775
42003561500,Allegheny County,1,1,1,1,23.8,1228,3655
42003561600,Allegheny County,0,1,0,1,19.7,1019,3655
42003561700,Allegheny County,0,1,0,1,8.1,428,3655
42003561900,Allegheny County,1,1,1,1,31,1388,3655
42003562000,Allegheny County,0,0,0,1,45.9,1695,3655
42003562300,Allegheny County,1,1,1,1,46.9,2053,3655
42003562400,Allegheny County,0,1,0,1,18.9,919,3655
42003562500,Allegheny County,0,1,0,1,34.4,1792,3655
42003562600,Allegheny County,1,1,1,1,17.8,1058,3655
42003562700,Allegheny County,0,1,0,1,20.7,690,3655
42003562800,Allegheny County,1,1,1,1,20.3,717,3655
42003562900,Allegheny County,1,1,1,1,20.2,1051,3655
42003563000,Allegheny County,0,0,0,0,14.5,640,3655
42003563100,Allegheny County,0,0,0,0,10,866,3655
42003563200,Allegheny County,0,1,0,1,27.3,968,3655
42003563300,Allegheny County,0,0,0,0,2.3,100,3655
42003563800,Allegheny County,0,0,0,0,4.1,397,3655
42003563900,Allegheny County,0,0,0,0,8.3,971,3655
42003564000,Allegheny County,0,0,0,0,3.7,1060,3655
42003564100,Allegheny County,0,0,0,0,2.8,41,3655
42003564200,Allegheny County,0,0,0,0,5.1,367,3655
42003564400,Allegheny County,1,1,1,1,9,1504,3655
42003564500,Allegheny County,0,0,0,0,9,695,3655
42003980000,Allegheny County,0,0,0,0,0,0,3655
42003980100,Allegheny County,0,0,0,0,0,0,3655
42003980300,Allegheny County,0,0,0,0,0,0,3655
42003980400,Allegheny County,0,0,0,0,0,0,3655
42003980500,Allegheny County,0,1,0,1,55.6,9,3655
42003980600,Allegheny County,0,0,0,0,0,0,3655
42003980700,Allegheny County,0,0,0,0,0,0,3655
42003980900,Allegheny County,0,0,0,0,0,0,3655
42003981000,Allegheny County,0,0,0,0,0,0,3655
42003981100,Allegheny County,0,0,0,0,0,0,3655
42003981800,Allegheny County,0,1,0,1,48.4,29,3655
42003982200,Allegheny County,0,1,0,1,37,10,3655
42005950100,Armstrong County,0,0,0,1,13.7,1728,3655
42005950200,Armstrong County,0,0,0,1,8.7,546,3655
42005950300,Armstrong County,0,0,0,0,12.6,955,3655
42005950400,Armstrong County,0,0,0,1,8.9,708,3655
42005950500,Armstrong County,0,0,0,0,4.4,1030,3655
42005950600,Armstrong County,0,0,0,1,12.7,866,3655
42005950700,Armstrong County,0,0,0,1,15.6,1667,3655
42005950800,Armstrong County,0,0,0,0,6.7,843,3655
42005950900,Armstrong County,0,0,0,1,8.9,1384,3655
42005951000,Armstrong County,1,1,1,1,22,1467,3655
42005951100,Armstrong County,0,1,0,1,23.7,1959,3655
42005951200,Armstrong County,0,0,0,0,8.2,1225,3655
42005951300,Armstrong County,0,0,0,0,6.9,693,3655
42005951400,Armstrong County,0,0,0,1,12.5,868,3655
42005951500,Armstrong County,0,0,0,0,14.2,983,3655
42005951600,Armstrong County,0,0,0,0,11.8,1356,3655
42005951700,Armstrong County,0,0,0,0,7.9,936,3655
42005951800,Armstrong County,0,1,0,1,21.3,917,3655
42005951900,Armstrong County,1,1,1,1,10.6,687,3655
42007600601,Beaver County,0,0,0,0,7.2,510,2273
42007600602,Beaver County,0,0,0,0,9.6,774,2974
42007600700,Beaver County,0,0,0,0,3.4,1101,7021
42007601000,Beaver County,0,0,0,0,7.3,690,3867
42007601100,Beaver County,1,1,1,1,24.4,895,3562
42007601200,Beaver County,1,1,1,1,31,1711,3351
42007601300,Beaver County,1,1,1,1,27.1,1429,3007
42007601400,Beaver County,0,1,0,1,9.4,1435,3754
42007601600,Beaver County,1,1,1,1,13.7,420,1674
42007601700,Beaver County,0,0,0,0,3.9,520,3734
42007601800,Beaver County,0,0,0,0,4.1,1000,7076
42007602100,Beaver County,0,0,0,1,23.4,1335,4014
42007602300,Beaver County,0,0,0,0,9.8,578,2631
42007602400,Beaver County,0,0,0,0,7.3,302,2144
42007602500,Beaver County,1,1,1,1,10.7,421,1480
42007602601,Beaver County,0,0,0,0,9.2,1104,4194
42007602602,Beaver County,0,0,0,0,2.2,455,3830
42007602701,Beaver County,0,0,0,0,8.1,338,1921
42007602702,Beaver County,0,0,0,0,7.3,708,3822
42007602800,Beaver County,1,1,1,1,29.8,1677,3137
42007602900,Beaver County,0,0,0,0,9,707,3276
42007603000,Beaver County,0,0,0,0,4.7,646,3397
42007603202,Beaver County,0,0,0,0,2,1028,6413
42007603300,Beaver County,0,0,0,0,6.6,1000,4136
42007603400,Beaver County,0,1,0,1,15.4,730,2150
42007603500,Beaver County,1,1,1,1,19.7,766,1769
42007603600,Beaver County,0,0,0,0,7.2,591,2290
42007603700,Beaver County,0,1,0,1,10.6,1029,4377
42007603801,Beaver County,0,0,0,0,3.5,473,3208
42007603802,Beaver County,0,0,0,0,2.1,229,2838
42007603803,Beaver County,0,0,0,0,4.5,392,3317
42007603900,Beaver County,0,0,0,0,2.6,465,3373
42007604000,Beaver County,1,1,1,1,15.1,1259,2832
42007604100,Beaver County,1,1,1,1,13.1,1620,3160
42007604200,Beaver County,1,1,1,1,15.3,543,1777
42007604500,Beaver County,1,1,1,1,54.2,1615,3531
42007604600,Beaver County,0,1,0,1,26.7,1320,3476
42007604700,Beaver County,0,0,0,1,17.2,552,1514
42007604800,Beaver County,0,0,0,0,9,903,4723
42007604901,Beaver County,0,0,0,0,7.2,895,4037
42007604902,Beaver County,0,0,0,0,3.6,702,5099
42007605001,Beaver County,0,0,0,0,9.1,713,2773
42007605002,Beaver County,0,0,0,0,7.6,742,3659
42007605100,Beaver County,0,0,0,0,6.1,1047,3659
42007605200,Beaver County,1,1,1,1,16.6,982,3659
42007605300,Beaver County,0,0,0,0,8,827,3659
42007605400,Beaver County,0,1,0,1,26.5,1674,3659
42007605500,Beaver County,0,0,0,0,11.2,1298,3659
42007605600,Beaver County,0,0,0,1,12.5,1002,3659
42007605700,Beaver County,1,1,1,1,32.7,1073,3659
42007605800,Beaver County,0,0,0,0,6.5,1141,3659
42019902100,Butler County,0,0,0,0,12.7,587,2477
42019902200,Butler County,0,1,0,1,18,990,2065
42019902300,Butler County,0,1,0,1,36.5,2041,3694
42019902400,Butler County,0,1,0,1,29.3,1166,2698
42019902500,Butler County,0,1,0,1,30.7,1733,4117
42019902600,Butler County,0,0,0,0,12,690,3229
