CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population,County
42101030502,0,1,0,1,32.1,3318,10326,Lawrence County
42101030600,0,1,0,1,8.2,2272,27663,Lawrence County
42101030700,0,0,0,1,25.4,1921,7549,Lawrence County
42101030800,0,0,0,1,9.7,1981,20360,Lawrence County
42101030900,0,0,0,1,20.9,2315,11096,Lawrence County
42101031000,0,0,0,1,16.6,2899,17452,Lawrence County
42101031101,0,0,0,1,28.6,3115,10906,Lawrence County
42101031102,0,0,0,1,13.9,2461,17768,Lawrence County
42101031200,0,0,0,1,26.2,3092,11790,Lawrence County
42101031300,0,0,0,1,28.8,4416,15312,Lawrence County
42101031401,0,0,0,1,29.7,4187,14104,Lawrence County
42101031402,0,0,0,1,25.4,3336,13138,Lawrence County
42101031501,0,1,0,1,11.9,2356,19799,Lawrence County
42101031502,0,0,0,1,25,2536,10144,Lawrence County
42101031600,0,0,0,1,20.1,2483,12329,Lawrence County
42101031700,0,1,0,1,12.5,1990,15877,Lawrence County
42101031800,0,0,0,1,29.1,2068,7108,Lawrence County
42101031900,0,1,0,1,20.5,2195,10717,Lawrence County
42101032000,0,1,0,1,14.2,2587,18178,Lawrence County
42101032100,0,1,0,1,29.6,2764,9340,Lawrence County
42101032300,0,1,0,1,16,1602,10021,Lawrence County
42101032500,0,0,0,1,28.5,3060,10751,Lawrence County
42101032600,0,0,0,1,21,2828,13456,Lawrence County
42101032900,0,1,0,1,23.4,2068,8850,Lawrence County
42101033000,0,0,0,1,32.9,4370,13279,Lawrence County
42101033101,0,0,0,0,12.6,1416,11231,Lawrence County
42101033102,0,1,0,1,16.8,1718,10216,Lawrence County
42101033200,0,0,0,0,7.2,520,7187,Lawrence County
42101033300,0,0,0,1,14.6,1195,8192,Lawrence County
42101033400,0,0,0,1,23.6,2198,9332,Lawrence County
42101033500,0,1,0,1,29.1,1925,6620,Lawrence County
42101033600,0,1,0,1,14.8,3203,21574,Lawrence County
42101033701,0,1,0,1,17.7,3383,19151,Lawrence County
42101033702,0,1,0,1,8.7,1593,18318,Lawrence County
42101033800,0,1,0,1,14.5,2050,14170,Lawrence County
42101033900,0,0,0,0,19.9,1321,6631,Lawrence County
42101034000,0,0,0,0,10.2,589,5788,Lawrence County
42101034100,0,0,0,0,4.7,1046,22073,Lawrence County
42101034200,1,1,1,1,12.6,1048,8332,Lawrence County
42101034400,0,0,0,0,5.8,801,13864,Lawrence County
42101034501,0,0,0,1,24.3,1902,7819,Lawrence County
42101034502,0,1,0,1,17.6,2016,11474,Lawrence County
42101034600,0,0,0,1,18.6,1105,5933,Lawrence County
42101034701,0,1,0,1,10.1,2138,21207,Lawrence County
42101034702,0,0,0,0,2.9,609,21052,Lawrence County
42101034801,0,1,0,1,7.3,1202,16440,Lawrence County
42101034802,0,1,0,1,15.1,2135,14139,Lawrence County
42101034803,0,0,0,0,5.4,1182,21857,Lawrence County
42101034900,0,1,0,1,15.8,2053,12953,Lawrence County
42101035100,0,0,0,0,13.7,1057,7742,Lawrence County
42101035200,0,0,0,0,6.3,656,10469,Lawrence County
42101035301,0,0,0,0,5.5,997,18291,Lawrence County
42101035302,0,0,0,1,8.4,1296,15468,Lawrence County
42101035500,0,0,0,0,15.6,2694,17291,Lawrence County
42101035601,0,0,0,0,10.3,1199,11660,Lawrence County
42101035602,0,0,0,0,0.9,276,31110,Lawrence County
42101035701,0,1,0,1,21.7,2407,11070,Lawrence County
42101035702,1,1,1,1,25.3,2271,8966,Lawrence County
42101035800,0,0,0,0,8.1,2107,26026,Lawrence County
42101035900,0,0,0,0,10.5,1317,12568,Lawrence County
42101036000,0,0,0,0,12.1,666,5510,Lawrence County
42101036100,0,0,0,0,18.5,1328,7188,Lawrence County
42101036201,0,0,0,0,4.6,839,18275,Lawrence County
42101036202,0,0,0,0,6.7,1057,15714,Lawrence County
42101036203,0,0,0,0,2.8,604,21207,Lawrence County
42101036301,0,0,0,0,14.3,1067,7445,Lawrence County
42101036302,1,1,1,1,6,1050,17617,Lawrence County
42101036303,0,0,0,0,5.3,1360,25656,Lawrence County
42101036400,1,1,1,1,45,427,950,Lawrence County
42101036501,0,0,0,0,13.8,1492,10783,Lawrence County
42101036502,0,0,0,0,5,607,12097,Lawrence County
42101036600,0,0,0,0,6.7,232,3458,Lawrence County
42101036700,0,0,0,0,5.9,613,10443,Lawrence County
42101036900,0,1,0,1,49.3,1169,2369,Lawrence County
42101037200,0,1,0,1,11.3,1566,13838,Lawrence County
42101037300,0,0,0,0,4.1,1028,25153,Lawrence County
42101037500,0,0,0,0,19.3,1102,5720,Lawrence County
42101037600,0,0,0,1,32.4,1305,4023,Lawrence County
42101037700,0,0,0,1,46.2,2417,5231,Lawrence County
42101037800,0,0,0,1,17.7,875,4944,Lawrence County
42101037900,0,0,0,1,14,1488,10611,Lawrence County
42101038000,0,1,0,1,29.2,1322,4527,Lawrence County
42101038100,0,0,0,1,33.9,530,1565,Lawrence County
42101038200,0,0,0,1,40.7,1861,4573,Lawrence County
42101038300,0,1,0,1,51.2,2063,4026,Lawrence County
42101038400,0,0,0,0,5.3,436,8172,Lawrence County
42101038500,0,0,0,0,6.7,364,5429,Lawrence County
42101038600,0,0,0,0,3.6,72,2018,Lawrence County
42101038700,0,0,0,0,7.8,401,5144,Lawrence County
42101038800,0,0,0,0,6.1,446,7352,Lawrence County
42101038900,0,0,0,1,30.6,1526,4988,Lawrence County
42101039000,0,0,0,1,38.2,5210,13628,Lawrence County
42101980000,0,0,0,0,11.2,29,258,Lawrence County
42101980100,0,1,0,1,33.3,8,24,Lawrence County
42101980200,0,0,0,0,19.7,55,279,Lawrence County
42101980300,0,0,0,0,0,0,0,Lawrence County
42101980700,0,0,0,0,0,0,0,Lawrence County
42101980800,0,0,0,0,0,0,0,Lawrence County
42101980900,0,0,0,0,0,0,0,Lawrence County
42101989100,1,1,1,1,82,41,50,Lawrence County
42103950102,0,0,0,1,19.2,646,3368,Lawrence County
42103950103,0,1,0,1,8.1,455,5620,Lawrence County
42103950104,0,0,0,0,10.1,574,5711,Lawrence County
42103950201,0,0,0,0,8.5,750,8863,Lawrence County
42103950202,0,0,0,0,16.7,395,2363,Lawrence County
42103950301,0,0,0,1,8.3,751,9029,Lawrence County
42103950302,0,0,0,0,1,76,7980,Lawrence County
42103950501,0,0,0,1,8.9,403,4546,Lawrence County
42103950502,0,0,0,0,4.8,600,12436,Lawrence County
42103950601,0,0,0,0,5.5,244,4460,Lawrence County
42103950603,0,0,0,1,7.4,369,4971,Lawrence County
42103950605,0,0,0,0,5.1,1021,20210,Lawrence County
