,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Risk_Level,Shortage_PF
15210,53691.0,1.0,1.0,1.0,1.0,20373.0,54780.0,2.0,0.37944906967648206
15211,3870.0,0.0,1.0,0.0,1.0,6435.0,23067.0,3.0,1.6627906976744187
15212,127289.0,1.0,1.0,1.0,1.0,14430.0,63626.0,2.0,0.11336407702158081
15213,16119.0,0.0,1.0,0.0,1.0,15359.0,40633.0,3.0,0.9528506731186798
15214,16392.0,1.0,1.0,1.0,1.0,9717.0,36755.0,2.0,0.5927891654465594
15215,1584.0,1.0,1.0,1.0,1.0,4304.0,28631.0,2.0,2.717171717171717
15216,5255.0,0.0,1.0,0.0,1.0,9397.0,48026.0,3.0,1.7882017126546146
15217,1170.0,1.0,1.0,1.0,1.0,10516.0,49499.0,2.0,8.988034188034188
15218,14483.0,0.0,1.0,0.0,1.0,5244.0,18911.0,3.0,0.3620796796243872
15219,93866.0,1.0,1.0,1.0,1.0,13930.0,47232.0,2.0,0.14840304263524598
15220,5322.0,1.0,1.0,1.0,1.0,12578.0,56895.0,2.0,2.3633972190905674
15221,122020.0,1.0,1.0,1.0,1.0,18162.0,67057.0,2.0,0.14884445172922472
15222,10963.0,0.0,0.0,0.0,0.0,2111.0,9288.0,0.0,0.19255678190276385
15223,9759.0,0.0,1.0,0.0,1.0,5314.0,28537.0,3.0,0.5445230044061892
15224,28710.0,0.0,1.0,0.0,1.0,8413.0,29421.0,3.0,0.2930337861372344
15226,33099.0,0.0,1.0,0.0,1.0,9891.0,40878.0,3.0,0.2988307803861144
15227,11118.0,1.0,1.0,1.0,1.0,11372.0,48901.0,2.0,1.0228458355819392
15228,13381.0,0.0,0.0,0.0,0.0,6714.0,50909.0,0.0,0.5017562215081085
15229,1808.0,0.0,0.0,0.0,0.0,5629.0,31222.0,0.0,3.1133849557522124
15233,928.0,0.0,1.0,0.0,1.0,4181.0,21171.0,3.0,4.505387931034483
15235,31885.0,1.0,1.0,1.0,1.0,17110.0,71517.0,2.0,0.5366159636192567
15236,42534.0,1.0,1.0,1.0,1.0,17669.0,83590.0,2.0,0.41540884939107536
15237,78.0,0.0,0.0,0.0,0.0,12473.0,91958.0,0.0,159.9102564102564
15238,10558.0,1.0,1.0,1.0,1.0,4544.0,35311.0,2.0,0.43038454252699376
15239,33994.0,0.0,0.0,0.0,0.0,6700.0,42134.0,0.0,0.19709360475378007
15243,850.0,0.0,0.0,0.0,0.0,2964.0,24106.0,0.0,3.4870588235294115
15301,4464.0,1.0,1.0,1.0,1.0,22192.0,96031.0,2.0,4.971326164874552
15317,19.0,0.0,0.0,0.0,0.0,9545.0,57336.0,0.0,502.36842105263156
15323,164.0,0.0,0.0,0.0,0.0,3861.0,20717.0,0.0,23.54268292682927
15341,1975.0,0.0,0.0,0.0,0.0,1936.0,7820.0,0.0,0.980253164556962
15347,185.0,0.0,0.0,0.0,0.0,2315.0,8544.0,0.0,12.513513513513514
15370,10519.0,1.0,1.0,1.0,1.0,10423.0,52025.0,2.0,0.9908736571917482
15412,341.0,1.0,1.0,1.0,1.0,1148.0,4732.0,2.0,3.366568914956012
15417,19003.0,1.0,1.0,1.0,1.0,8916.0,30768.0,2.0,0.46918907540914595
15419,25.0,1.0,1.0,1.0,1.0,2151.0,5408.0,2.0,86.04
15423,21.0,1.0,1.0,1.0,1.0,4844.0,17442.0,2.0,230.66666666666666
