,CensusTract,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,zip,Shortage_PF
10,42003060300,1,2341,1180,0,22,0.94,0,0,0,0,0,0,14.6,81622.0,0,0,0,0,0,0,0,0,,391.0,,,86.0,,391.0,16.68,86.0,3.67,60.0,2.55,42.0,1.78,308.0,13.16,62.0,2.67,6.0,0.26,1.0,0.04,0.0,0.0,13.0,0.55,3.0,0.15,42.0,3.6,32.0,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,350,305,1649,546,59,1,3,83,30,301,204,15219,0.148403043
11,42003060500,1,1274,697,0,0,0.0,0,0,0,0,0,0,9.6,95609.0,0,0,0,0,0,0,0,0,,6.0,,,2.0,,6.0,0.49,2.0,0.16,1.0,0.07,1.0,0.06,5.0,0.42,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,155,204,1056,155,16,0,2,45,28,145,98,15219,0.148403043
12,42003170200,1,3725,2063,0,8,0.21,0,0,0,0,0,1,30.6,,0,0,0,0,0,0,0,0,,226.0,,,148.0,,226.0,6.07,148.0,3.98,14.0,0.37,29.0,0.77,201.0,5.39,16.0,0.43,5.0,0.14,0.0,0.0,1.0,0.03,3.0,0.08,10.0,0.26,57.0,2.78,12.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499,163,374,3555,54,53,2,3,58,106,409,165,15219,0.148403043
13,42003427200,1,4899,2184,0,90,1.84,0,0,0,0,1,0,12.4,77303.0,0,1,0,1,0,0,0,1,55.0,4310.0,55.0,14.0,982.0,14.0,4310.0,87.98,982.0,20.05,763.0,15.57,873.0,17.82,4187.0,85.48,45.0,0.92,38.0,0.77,0.0,0.0,6.0,0.13,34.0,0.69,32.0,0.65,139.0,6.36,129.0,5.9,55.0,1.11,14.0,0.28,12.0,0.24,10.0,0.21,53.0,1.08,1.0,0.01,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.01,0.0,0.01,2.0,0.11,2.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,877,965,4759,49,44,0,7,40,43,153,152,15219,0.148403043
14,42003562600,1,2635,1151,0,0,0.0,1,1,1,1,1,1,17.8,49375.0,1,1,1,1,1,0,0,1,858.0,2578.0,858.0,291.0,1071.0,291.0,2578.0,97.82,1071.0,40.63,585.0,22.2,322.0,12.2,1640.0,62.24,797.0,30.25,18.0,0.67,0.0,0.0,5.0,0.19,118.0,4.46,38.0,1.44,215.0,18.71,381.0,33.14,858.0,32.55,291.0,11.05,197.0,7.47,112.0,4.25,544.0,20.65,268.0,10.19,8.0,0.32,0.0,0.0,1.0,0.05,35.0,1.34,9.0,0.33,69.0,6.01,127.0,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058,594,330,1695,799,18,0,5,118,38,205,363,15219,0.148403043
15,42003563100,1,3549,1612,0,0,0.0,0,0,0,0,0,0,10.0,67792.0,0,0,0,0,0,0,0,0,,344.0,,,74.0,,344.0,9.71,74.0,2.09,67.0,1.88,61.0,1.72,309.0,8.72,23.0,0.65,6.0,0.16,0.0,0.0,0.0,0.0,6.0,0.18,3.0,0.1,8.0,0.49,17.0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,658,634,2977,281,180,1,3,107,51,95,194,15219,0.148403043
16,42003980700,1,19,10,0,0,0.0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,19,0,0,0,0,0,0,0,0,15219,0.148403043
17,42003020100,1,3629,1906,0,1091,30.06,0,0,0,0,1,0,17.5,137463.0,0,1,0,1,0,0,0,1,0.0,2361.0,0.0,0.0,497.0,0.0,2361.0,65.07,497.0,13.7,29.0,0.8,356.0,9.81,1735.0,47.81,428.0,11.78,63.0,1.75,2.0,0.06,7.0,0.19,126.0,3.48,80.0,2.2,370.0,19.39,101.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,68,434,2706,580,171,2,8,162,119,805,248,15222,0.192556782
18,42003020300,1,616,403,0,0,0.0,0,0,0,0,0,0,6.4,124722.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,49,44,466,96,39,0,1,14,10,74,0,15222,0.192556782
19,42003060500,1,1274,697,0,0,0.0,0,0,0,0,0,0,9.6,95609.0,0,0,0,0,0,0,0,0,,6.0,,,2.0,,6.0,0.49,2.0,0.16,1.0,0.07,1.0,0.06,5.0,0.42,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,155,204,1056,155,16,0,2,45,28,145,98,15222,0.192556782
20,42003240600,1,2714,1349,0,3,0.11,0,0,0,0,1,0,16.8,79196.0,0,1,0,1,0,0,0,1,,2156.0,,,704.0,,2156.0,79.45,704.0,25.94,434.0,15.99,285.0,10.51,1752.0,64.54,279.0,10.27,68.0,2.49,1.0,0.04,3.0,0.11,55.0,2.01,38.0,1.41,257.0,19.02,151.0,11.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,483,331,2204,331,108,1,3,67,50,265,183,15222,0.192556782
26,42003020300,1,616,403,0,0,0.0,0,0,0,0,0,0,6.4,124722.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,49,44,466,96,39,0,1,14,10,74,0,15201,0.812935323
27,42003060300,1,2341,1180,0,22,0.94,0,0,0,0,0,0,14.6,81622.0,0,0,0,0,0,0,0,0,,391.0,,,86.0,,391.0,16.68,86.0,3.67,60.0,2.55,42.0,1.78,308.0,13.16,62.0,2.67,6.0,0.26,1.0,0.04,0.0,0.0,13.0,0.55,3.0,0.15,42.0,3.6,32.0,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,350,305,1649,546,59,1,3,83,30,301,204,15201,0.812935323
28,42003060500,1,1274,697,0,0,0.0,0,0,0,0,0,0,9.6,95609.0,0,0,0,0,0,0,0,0,,6.0,,,2.0,,6.0,0.49,2.0,0.16,1.0,0.07,1.0,0.06,5.0,0.42,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,155,204,1056,155,16,0,2,45,28,145,98,15201,0.812935323
29,42003090100,1,1843,922,0,9,0.49,0,0,0,0,1,0,8.7,72212.0,0,1,0,1,0,0,0,1,0.0,1834.0,0.0,0.0,391.0,0.0,1834.0,99.5,391.0,21.23,275.0,14.9,289.0,15.69,1532.0,83.14,226.0,12.25,17.0,0.92,0.0,0.0,1.0,0.05,58.0,3.13,25.0,1.34,192.0,20.87,64.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,276,290,1541,226,17,0,1,58,26,219,74,15201,0.812935323
30,42003090200,1,2635,1369,0,87,3.3,0,0,0,0,0,0,8.8,77833.0,0,1,0,1,0,0,0,0,,919.0,,,216.0,,919.0,34.87,216.0,8.2,106.0,4.03,172.0,6.54,792.0,30.04,75.0,2.83,25.0,0.95,0.0,0.0,2.0,0.08,26.0,0.98,22.0,0.85,62.0,4.55,45.0,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,294,663,2317,196,61,0,2,59,52,364,133,15201,0.812935323
31,42003100500,1,2079,915,0,48,2.31,0,0,0,0,1,0,12.5,78500.0,0,1,0,1,0,0,0,1,,1696.0,,,415.0,,1696.0,81.56,415.0,19.96,336.0,16.17,361.0,17.38,497.0,23.93,1135.0,54.57,12.0,0.57,0.0,0.0,1.0,0.05,51.0,2.44,10.0,0.48,163.0,17.83,111.0,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,437,402,600,1397,13,0,1,68,17,201,133,15201,0.812935323
32,42003101100,1,2669,1168,0,5,0.19,0,0,0,0,0,1,14.2,53750.0,0,0,0,0,0,0,0,0,,141.0,,,47.0,,141.0,5.29,47.0,1.74,26.0,0.97,18.0,0.68,100.0,3.75,36.0,1.35,2.0,0.08,0.0,0.0,0.0,0.0,3.0,0.11,2.0,0.08,7.0,0.61,8.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,605,264,1754,751,37,1,10,116,83,137,169,15201,0.812935323
33,42003101400,1,3346,1526,0,5,0.15,0,0,0,0,1,0,5.0,74943.0,1,1,1,1,1,0,0,1,1192.0,3346.0,1192.0,322.0,786.0,322.0,3346.0,100.0,786.0,23.5,598.0,17.87,513.0,15.33,2652.0,79.26,552.0,16.5,33.0,0.99,2.0,0.06,3.0,0.09,104.0,3.11,52.0,1.55,314.0,20.58,92.0,6.04,1192.0,35.61,322.0,9.62,225.0,6.71,185.0,5.54,1035.0,30.93,115.0,3.45,10.0,0.31,1.0,0.03,0.0,0.0,30.0,0.89,25.0,0.75,106.0,6.95,33.0,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,598,513,2652,552,33,2,3,104,52,295,94,15201,0.812935323
34,42003101800,1,2522,1182,0,0,0.0,0,0,0,0,0,0,6.0,80536.0,0,1,0,1,0,0,0,0,25.0,1753.0,25.0,4.0,295.0,4.0,1753.0,69.5,295.0,11.69,293.0,11.61,284.0,11.27,1374.0,54.47,309.0,12.25,24.0,0.96,0.0,0.0,5.0,0.2,41.0,1.62,26.0,1.05,81.0,6.86,34.0,2.88,25.0,0.99,4.0,0.17,5.0,0.2,3.0,0.12,20.0,0.78,4.0,0.18,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.06,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,427,450,1971,446,27,0,10,68,49,109,49,15201,0.812935323
35,42003981000,1,4,2,0,0,0.0,0,0,0,0,0,0,0.0,,0,1,0,1,0,0,0,0,,3.0,,,0.0,,3.0,76.81,0.0,0.0,0.0,0.0,2.0,38.41,3.0,76.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,4,0,0,0,0,0,0,0,0,15201,0.812935323
51,42003040200,1,2604,594,0,1259,48.35,0,1,0,1,1,1,47.9,34813.0,0,1,0,1,0,0,0,1,,2482.0,,,1720.0,,2482.0,95.31,1720.0,66.04,205.0,7.87,194.0,7.45,1371.0,52.65,884.0,33.94,169.0,6.49,0.0,0.0,7.0,0.27,51.0,1.96,60.0,2.3,208.0,34.93,186.0,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,235,211,1373,1003,169,0,7,52,61,254,224,15213,0.952850673
52,42003040400,1,2488,1369,0,325,13.06,0,0,0,0,0,1,39.8,54531.0,0,0,0,0,0,0,0,0,,142.0,,,92.0,,142.0,5.72,92.0,3.68,0.0,0.01,84.0,3.36,114.0,4.59,1.0,0.05,25.0,1.01,0.0,0.0,0.0,0.0,2.0,0.07,2.0,0.09,54.0,3.96,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,21,620,1518,86,766,1,9,108,95,506,0,15213,0.952850673
53,42003040500,1,3694,1300,0,736,19.92,0,1,0,1,1,1,72.8,20875.0,0,1,0,1,0,0,0,1,,3694.0,,,3287.0,,3694.0,100.0,3287.0,88.97,34.0,0.92,123.0,3.33,3089.0,83.62,175.0,4.74,325.0,8.8,0.0,0.0,9.0,0.24,96.0,2.6,79.0,2.14,490.0,37.72,10.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517,34,123,3089,175,325,0,9,96,79,436,9,15213,0.952850673
54,42003040600,1,2392,1084,0,0,0.0,0,1,0,1,1,1,57.7,46250.0,0,1,0,1,0,0,0,1,53.0,2392.0,53.0,40.0,1792.0,40.0,2392.0,100.0,1792.0,74.92,57.0,2.38,106.0,4.43,1965.0,82.15,146.0,6.1,193.0,8.07,1.0,0.04,6.0,0.25,81.0,3.39,78.0,3.26,348.0,32.14,26.0,2.4,53.0,2.21,40.0,1.65,3.0,0.13,3.0,0.14,46.0,1.93,2.0,0.08,3.0,0.13,0.0,0.0,0.0,0.0,1.0,0.06,2.0,0.08,9.0,0.79,1.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,57,106,1965,146,193,1,6,81,78,295,22,15213,0.952850673
55,42003040900,1,2969,1321,0,92,3.1,0,1,0,1,1,1,58.0,36719.0,0,1,0,1,0,0,0,1,11.0,2806.0,11.0,6.0,2049.0,6.0,2806.0,94.5,2049.0,69.01,199.0,6.71,291.0,9.8,1922.0,64.74,583.0,19.63,175.0,5.89,1.0,0.03,2.0,0.07,123.0,4.14,84.0,2.83,309.0,23.36,164.0,12.43,11.0,0.37,6.0,0.2,2.0,0.06,1.0,0.05,9.0,0.3,0.0,0.01,2.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,210,318,2022,633,183,1,2,128,86,348,186,15213,0.952850673
56,42003050600,1,2057,1016,0,0,0.0,0,1,0,1,1,1,21.8,68750.0,0,1,0,1,0,0,0,1,,1082.0,,,349.0,,1082.0,52.59,349.0,16.95,223.0,10.85,187.0,9.07,62.0,3.03,990.0,48.11,2.0,0.1,0.0,0.0,2.0,0.09,26.0,1.26,17.0,0.8,160.0,15.72,98.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,351,512,380,1593,21,0,5,58,29,265,169,15213,0.952850673
57,42003051000,1,2106,731,0,799,37.94,0,1,0,1,1,1,56.0,15278.0,0,1,0,1,0,0,0,1,,2036.0,,,1503.0,,2036.0,96.69,1503.0,71.35,242.0,11.5,180.0,8.55,870.0,41.3,1035.0,49.16,74.0,3.5,0.0,0.0,6.0,0.28,52.0,2.46,24.0,1.13,344.0,47.1,253.0,34.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,247,187,896,1074,76,0,6,54,26,374,275,15213,0.952850673
