zip,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Shortage_PF
16120,517,0,0,0,0,1976,9164,3.82205029
16132,1137,0,0,0,0,838,3447,0.737027265
16141,907,0,0,0,1,2931,12594,3.231532525
16143,817,0,0,0,0,1551,7105,1.898408813
16156,11,0,0,0,0,2488,12087,226.1818182
16201,15982,0,1,0,1,12346,36550,0.772494056
16229,3199,1,1,1,1,4708,22434,1.471709909
16646,2367,1,1,1,1,2730,10810,1.153358682
15006,,0,0,0,0,989,6883,
15007,,0,0,0,0,622,4325,
15009,,1,1,1,1,7455,33676,
15012,,1,1,1,1,4132,17690,
15015,,0,0,0,0,928,7145,
15017,,0,1,0,1,6381,45109,
15018,,0,0,0,0,2213,13839,
15019,,0,0,0,1,3982,15414,
15020,,0,0,0,0,677,3771,
15021,,0,0,0,0,4306,18312,
15026,,0,0,0,0,3392,15590,
15027,,1,1,1,1,1830,7267,
15028,,0,0,0,0,1248,6425,
15030,,0,0,0,0,423,1362,
15031,,0,0,0,0,1172,7251,
15032,,0,0,0,0,1302,4680,
15038,,0,0,0,0,1780,8646,
15042,,1,1,1,1,4453,24157,
15043,,0,0,0,0,2095,10332,
15044,,0,0,0,0,9000,67751,
15046,,0,0,0,0,430,2324,
15047,,0,0,0,0,1042,6000,
15049,,0,1,0,1,586,3099,
15050,,0,0,0,0,2095,10332,
15051,,0,0,0,0,653,6809,
15052,,0,0,0,0,2924,12911,
15053,,0,0,0,0,1461,4567,
15054,,0,0,0,0,2613,10156,
15055,,0,0,0,0,719,6676,
15060,,0,0,0,1,2451,7742,
15064,,0,0,0,0,1172,7251,
15066,,1,1,1,1,9384,38571,
15067,,1,1,1,1,3241,12930,
15071,,0,0,0,0,6141,30801,
15075,,0,0,0,0,453,4042,
15077,,0,0,0,0,707,3276,
15078,,0,0,0,0,1461,4567,
15081,,0,0,0,0,903,4723,
15082,,0,0,0,0,1821,7824,
15083,,0,0,0,0,746,4582,
15085,,1,1,1,1,3417,11913,
15086,,0,0,0,0,1122,8961,
15089,,0,0,0,0,746,4582,
15091,,0,0,0,0,1214,5971,
15095,,0,0,0,0,879,5996,
15096,,0,0,0,0,879,5996,
15112,,1,1,1,1,7657,19962,
15123,,0,0,0,0,1269,5689,
15127,,0,0,0,0,177,4863,
15134,,0,1,0,1,976,1654,
15135,,0,0,0,0,1214,7202,
15142,,0,0,0,0,850,5265,
15143,,0,0,0,0,3354,33659,
15225,,1,1,1,1,373,1229,
15230,,0,0,0,0,990,4874,
15231,,0,0,0,0,3142,18271,
15232,,0,0,0,1,9936,31532,
15234,,1,1,1,1,8017,46950,
15240,,0,0,0,0,809,4197,
15241,,0,0,0,0,5291,47324,
15244,,0,0,0,0,954,5414,
15258,,0,0,0,0,990,4874,
15259,,0,0,0,0,990,4874,
15260,,1,1,1,1,11713,31965,
15261,,0,1,0,1,5265,12597,
15262,,0,0,0,0,990,4874,
15267,,0,0,0,0,0,3655,
15272,,0,0,0,0,990,4874,
15275,,0,0,0,0,2614,8978,
15276,,0,0,0,0,954,5414,
15277,,0,0,0,0,954,5414,
15289,,0,0,0,0,575,5531,
15290,,0,0,0,1,366,936,
15295,,0,0,0,0,712,2375,
15310,,0,0,0,0,1283,4877,
15311,,0,0,0,0,4124,22540,
15312,,0,0,0,0,3247,14680,
